일자,전국,서울,경기,인천,강원,충북,충남,전북,전남,경북,경남,세종,대전,대구,부산,광주,울산,제주
2025-06-30,1532.0,1623.56,1533.44,1538.6,1538.22,1536.42,1530.81,1516.58,1524.77,1519.59,1520.04,1521.22,1536.45,1500.19,1526.57,1519.19,1530.86,1587.28
2025-07-01,1531.68,1622.29,1532.0,1537.47,1538.86,1536.11,1531.13,1516.07,1525.7,1519.6,1520.73,1521.97,1535.8,1500.09,1526.18,1518.64,1529.38,1587.18
2025-07-02,1531.21,1621.99,1531.41,1535.18,1538.7,1535.54,1530.56,1516.53,1525.79,1519.27,1520.22,1522.14,1534.26,1499.01,1524.63,1519.18,1528.49,1587.18
2025-07-03,1530.73,1620.74,1530.84,1534.59,1538.98,1534.89,1530.29,1515.93,1526.1,1518.87,1519.86,1521.38,1533.5,1498.19,1523.1,1518.24,1526.27,1587.53
2025-07-04,1530.71,1620.65,1530.55,1534.37,1538.93,1534.61,1530.15,1515.98,1526.62,1519.14,1520.22,1521.77,1533.01,1498.64,1523.87,1518.37,1524.42,1586.71
2025-07-05,1530.18,1614.37,1529.87,1533.73,1539.79,1534.74,1530.12,1515.7,1526.51,1518.55,1520.04,1521.92,1532.96,1498.2,1523.03,1517.97,1523.74,1586.75
2025-07-06,1530.0,1614.29,1529.72,1533.57,1539.61,1534.03,1530.49,1515.81,1526.21,1518.46,1519.97,1522.45,1532.58,1497.52,1522.22,1517.86,1522.81,1586.29
2025-07-07,1530.69,1620.34,1530.47,1533.32,1539.96,1534.29,1530.73,1516.33,1527.14,1518.57,1520.49,1523.06,1532.77,1497.52,1523.12,1518.61,1522.96,1586.28
2025-07-08,1530.16,1619.66,1529.4,1532.13,1540.45,1534.26,1530.8,1515.53,1526.63,1518.31,1520.1,1522.97,1531.78,1497.5,1522.13,1517.97,1521.24,1585.71
2025-07-09,1530.27,1619.82,1529.81,1531.69,1540.82,1534.35,1530.66,1515.77,1526.8,1518.45,1520.13,1521.8,1530.39,1498.44,1521.98,1518.37,1519.22,1585.88
2025-07-10,1530.3,1618.39,1530.08,1531.59,1541.45,1534.31,1530.95,1515.22,1527.49,1518.82,1519.53,1523.54,1531.81,1498.15,1521.92,1517.1,1518.78,1585.79
2025-07-11,1530.35,1618.35,1530.24,1531.35,1541.55,1534.44,1531.31,1515.35,1527.6,1518.36,1519.65,1522.58,1531.8,1497.81,1522.16,1518.16,1517.28,1585.79
2025-07-12,1530.29,1612.94,1529.95,1531.52,1542.59,1534.19,1531.58,1515.36,1528.18,1518.67,1520.01,1523.97,1531.91,1497.8,1522.28,1518.94,1517.29,1585.53
2025-07-13,1530.13,1612.73,1529.56,1531.81,1542.58,1533.45,1531.53,1515.61,1527.89,1518.79,1519.97,1524.12,1531.99,1497.21,1521.97,1518.92,1516.86,1585.58
2025-07-14,1531.2,1618.93,1531.04,1532.99,1543.4,1534.82,1531.86,1517.12,1528.52,1519.06,1520.61,1525.2,1532.12,1498.01,1522.84,1519.27,1516.54,1585.67
2025-07-15,1531.16,1618.66,1530.99,1532.41,1543.95,1534.7,1531.93,1517.15,1529.05,1518.55,1520.85,1524.43,1531.26,1498.05,1521.88,1518.85,1517.19,1585.67
2025-07-16,1531.18,1619.05,1531.1,1531.82,1544.69,1535.13,1531.77,1516.78,1529.63,1518.59,1520.49,1523.83,1531.26,1497.98,1521.37,1519.68,1516.1,1585.18
2025-07-17,1530.93,1618.44,1530.87,1531.53,1544.6,1534.75,1531.72,1516.89,1529.44,1518.51,1520.09,1523.59,1530.9,1497.27,1519.82,1519.35,1516.29,1585.18
2025-07-18,1531.05,1618.67,1530.82,1532.54,1544.65,1534.87,1531.98,1516.73,1529.97,1518.78,1520.43,1523.05,1531.47,1497.32,1519.29,1519.5,1515.54,1585.07
2025-07-19,1530.62,1613.6,1529.97,1532.36,1545.04,1535.24,1531.98,1516.71,1529.9,1518.32,1520.07,1524.41,1532.14,1497.6,1518.63,1519.31,1515.35,1584.79
2025-07-20,1530.63,1614.0,1529.92,1532.71,1545.27,1534.86,1532.12,1516.95,1529.87,1518.4,1520.23,1522.78,1531.07,1497.01,1518.47,1519.85,1515.3,1584.9
2025-07-21,1531.53,1619.7,1531.23,1533.68,1545.7,1535.81,1532.66,1517.56,1530.36,1518.78,1520.63,1523.25,1531.05,1497.44,1518.75,1520.14,1516.55,1584.95
2025-07-22,1531.79,1619.79,1531.35,1534.3,1545.8,1535.84,1533.59,1517.64,1530.44,1519.17,1521.18,1523.1,1530.7,1497.55,1519.72,1520.57,1516.16,1584.23
2025-07-23,1532.22,1620.41,1531.94,1534.97,1547.1,1535.91,1533.41,1518.35,1531.33,1519.35,1521.6,1524.75,1532.33,1497.99,1520.37,1521.28,1516.07,1580.42
2025-07-24,1532.54,1620.28,1532.36,1535.01,1547.49,1536.62,1533.59,1518.77,1531.65,1519.86,1522.23,1524.44,1532.7,1497.63,1520.01,1521.59,1516.79,1579.21
2025-07-25,1533.11,1619.99,1532.87,1535.11,1547.87,1536.91,1534.44,1519.38,1532.48,1520.46,1522.92,1524.75,1533.16,1498.48,1520.57,1523.78,1517.33,1579.0
2025-07-26,1532.93,1614.5,1532.09,1534.08,1548.31,1537.12,1534.89,1519.89,1533.3,1520.8,1522.86,1524.95,1533.8,1498.74,1521.05,1524.22,1516.71,1578.56
2025-07-27,1532.93,1614.5,1532.51,1533.96,1548.39,1536.71,1534.81,1519.8,1533.5,1520.85,1522.27,1524.95,1534.31,1498.83,1519.88,1524.34,1516.56,1578.61
2025-07-28,1533.96,1620.9,1533.69,1534.49,1549.18,1537.54,1535.32,1520.43,1534.49,1521.5,1523.36,1525.58,1534.76,1499.36,1520.83,1525.17,1517.05,1578.64
2025-07-29,1534.22,1620.9,1534.21,1534.16,1549.01,1538.19,1535.71,1520.76,1534.33,1521.87,1523.67,1525.2,1534.73,1499.81,1520.74,1524.41,1517.85,1578.59
2025-07-30,1534.7,1620.81,1534.26,1536.04,1549.57,1538.04,1536.45,1522.53,1535.33,1522.12,1523.88,1525.05,1533.94,1500.33,1522.77,1524.13,1518.14,1578.54
2025-07-31,1535.14,1620.97,1534.94,1535.8,1549.85,1538.55,1537.12,1522.92,1535.63,1522.65,1524.5,1525.67,1534.11,1500.88,1522.54,1525.56,1516.94,1578.43
2025-08-01,1536.1,1621.06,1535.41,1536.22,1550.52,1539.58,1538.05,1524.46,1537.64,1523.35,1525.88,1526.47,1535.72,1501.38,1524.81,1526.01,1517.92,1579.11
2025-08-02,1536.79,1618.75,1535.67,1537.48,1551.94,1540.84,1538.89,1524.93,1538.59,1523.82,1526.7,1527.11,1537.6,1502.33,1527.53,1526.36,1518.42,1581.57
2025-08-03,1537.03,1619.73,1535.87,1537.91,1552.16,1540.39,1539.07,1525.44,1538.81,1523.98,1526.77,1527.67,1537.19,1502.47,1528.04,1526.11,1518.15,1584.07
2025-08-04,1537.82,1624.81,1536.99,1537.92,1552.64,1541.42,1539.13,1526.45,1539.34,1523.91,1527.39,1528.77,1538.02,1502.57,1528.73,1526.29,1518.52,1585.35
